x,Full,Full stdev,Condensed,Condensed stdev
3510.0,0.441,0.025768197453450242,0.5505000000000001,0.0037215588131856814
3522.0,0.4411000000000001,0.025889959443768925,0.5505000000000001,0.0037215588131856814
3523.0,0.4412000000000001,0.02600692215545699,0.5505000000000001,0.0037215588131856814
3525.0,0.4413,0.026061657660248698,0.5505000000000001,0.0037215588131856814
3609.0,0.4414,0.025900579144104086,0.5505000000000001,0.0037215588131856814
3610.0,0.4415,0.02581569290179908,0.5505000000000001,0.0037215588131856814
3611.0,0.4416000000000001,0.02583486016993317,0.5505000000000001,0.0037215588131856814
3613.0,0.4417000000000001,0.025842020044880384,0.5505000000000001,0.0037215588131856814
3614.0,0.4424,0.026758923745173302,0.5505000000000001,0.0037215588131856814
3615.0,0.4433000000000001,0.026717222909576503,0.5505000000000001,0.0037215588131856814
3618.0,0.4439,0.02681585351988632,0.5505000000000001,0.0037215588131856814
3621.0,0.4445,0.0274963633959111,0.5505000000000001,0.0037215588131856814
3708.0,0.4491,0.022774766738651787,0.5505000000000001,0.0037215588131856814
3712.0,0.4511999999999999,0.023798319268385312,0.5505000000000001,0.0037215588131856814
3716.0,0.4513,0.023584104816592042,0.5505000000000001,0.0037215588131856814
3718.0,0.4529,0.024047661008921417,0.5505000000000001,0.0037215588131856814
3721.0,0.453,0.0240249869927124,0.5505000000000001,0.0037215588131856814
3722.0,0.4553999999999999,0.027343006418461005,0.5505000000000001,0.0037215588131856814
3802.0,0.4553999999999999,0.027343006418461005,0.551,0.003820994634908563
3807.0,0.4557,0.02753924472457441,0.551,0.003820994634908563
3815.0,0.4558,0.027563744302978862,0.551,0.003820994634908563
3817.0,0.4566,0.02787543721630209,0.551,0.003820994634908563
3818.0,0.457,0.027092434368288124,0.551,0.003820994634908563
3824.0,0.4591,0.02503377718203946,0.551,0.003820994634908563
3826.0,0.4612999999999999,0.02519146680921934,0.551,0.003820994634908563
3911.0,0.4613999999999999,0.025124490044576026,0.551,0.003820994634908563
3917.0,0.4616,0.02546055773151876,0.551,0.003820994634908563
3918.0,0.4626999999999999,0.02624137953690696,0.551,0.003820994634908563
3919.0,0.4637999999999999,0.026167919290612303,0.551,0.003820994634908563
3926.0,0.4656,0.02791845267918693,0.551,0.003820994634908563
4006.0,0.4656999999999999,0.02770216598029836,0.551,0.003820994634908563
4017.0,0.4662,0.028106227068035998,0.551,0.003820994634908563
4018.0,0.4663,0.028245530619905163,0.551,0.003820994634908563
4021.0,0.4668,0.028297703086999824,0.551,0.003820994634908563
4025.0,0.4678999999999999,0.02868954513407278,0.551,0.003820994634908563
4028.0,0.4686,0.029537095320968838,0.551,0.003820994634908563
4106.0,0.4695,0.02893527259246056,0.551,0.003820994634908563
4109.0,0.4696,0.02871654575327611,0.551,0.003820994634908563
4111.0,0.4722,0.02510697114348921,0.551,0.003820994634908563
